country,key,value,date
ec,jazz,0,2017-02-05
ec,jazz,0,2017-02-12
ec,jazz,0,2017-02-19
ec,jazz,0,2017-02-26
ec,jazz,0,2017-03-05
ec,jazz,0,2017-03-12
ec,jazz,0,2017-03-19
ec,jazz,0,2017-03-26
ec,jazz,0,2017-04-02
ec,jazz,0,2017-04-09
ec,jazz,0,2017-04-16
ec,jazz,0,2017-04-23
ec,jazz,0,2017-04-30
ec,jazz,0,2017-05-07
ec,jazz,0,2017-05-14
ec,jazz,0,2017-05-21
ec,jazz,0,2017-05-28
ec,jazz,0,2017-06-04
ec,jazz,0,2017-06-11
ec,jazz,0,2017-06-18
ec,jazz,0,2017-06-25
ec,jazz,0,2017-07-02
ec,jazz,0,2017-07-09
ec,jazz,0,2017-07-16
ec,jazz,0,2017-07-23
ec,jazz,0,2017-07-30
ec,jazz,0,2017-08-06
ec,jazz,0,2017-08-13
ec,jazz,0,2017-08-20
ec,jazz,0,2017-08-27
ec,jazz,0,2017-09-03
ec,jazz,0,2017-09-10
ec,jazz,0,2017-09-17
ec,jazz,0,2017-09-24
ec,jazz,0,2017-10-01
ec,jazz,0,2017-10-08
ec,jazz,0,2017-10-15
ec,jazz,0,2017-10-22
ec,jazz,0,2017-10-29
ec,jazz,0,2017-11-05
ec,jazz,0,2017-11-12
ec,jazz,0,2017-11-19
ec,jazz,0,2017-11-26
ec,jazz,0,2017-12-03
ec,jazz,0,2017-12-10
ec,jazz,0,2017-12-17
ec,jazz,0,2017-12-24
ec,jazz,0,2017-12-31
ec,blues,5,2017-01-01
ec,blues,0,2017-01-08
ec,blues,0,2017-01-15
ec,blues,0,2017-01-22
ec,blues,0,2017-01-29
ec,blues,0,2017-02-05
ec,blues,0,2017-02-12
ec,blues,0,2017-02-19
ec,blues,0,2017-02-26
ec,blues,0,2017-03-05
ec,blues,0,2017-03-12
ec,blues,0,2017-03-19
ec,blues,0,2017-03-26
ec,blues,0,2017-04-02
ec,blues,0,2017-04-09
ec,blues,0,2017-04-16
ec,blues,0,2017-04-23
ec,blues,0,2017-04-30
ec,blues,0,2017-05-07
ec,blues,0,2017-05-14
ec,blues,0,2017-05-21
ec,blues,0,2017-05-28
ec,blues,0,2017-06-04
ec,blues,0,2017-06-11
ec,blues,0,2017-06-18
ec,blues,0,2017-06-25
ec,blues,0,2017-07-02
ec,blues,0,2017-07-09
ec,blues,0,2017-07-16
ec,blues,0,2017-07-23
ec,blues,0,2017-07-30
ec,blues,0,2017-08-06
ec,blues,0,2017-08-13
ec,blues,0,2017-08-20
ec,blues,0,2017-08-27
ec,blues,0,2017-09-03
ec,blues,0,2017-09-10
ec,blues,0,2017-09-17
ec,blues,0,2017-09-24
ec,blues,0,2017-10-01
ec,blues,0,2017-10-08
ec,blues,0,2017-10-15
ec,blues,0,2017-10-22
ec,blues,0,2017-10-29
ec,blues,0,2017-11-05
ec,blues,0,2017-11-12
ec,blues,0,2017-11-19
ec,blues,0,2017-11-26
ec,blues,0,2017-12-03
ec,blues,0,2017-12-10
ec,blues,0,2017-12-17
ec,blues,0,2017-12-24
ec,blues,0,2017-12-31
ec,r&b,48,2017-01-01
ec,r&b,0,2017-01-08
ec,r&b,0,2017-01-15
ec,r&b,0,2017-01-22
ec,r&b,0,2017-01-29
ec,r&b,0,2017-02-05
ec,r&b,0,2017-02-12
ec,r&b,0,2017-02-19
ec,r&b,0,2017-02-26
ec,r&b,0,2017-03-05
ec,r&b,0,2017-03-12
ec,r&b,0,2017-03-19
ec,r&b,0,2017-03-26
ec,r&b,0,2017-04-02
ec,r&b,0,2017-04-09
ec,r&b,0,2017-04-16
ec,r&b,0,2017-04-23
ec,r&b,0,2017-04-30
ec,r&b,0,2017-05-07
ec,r&b,0,2017-05-14
ec,r&b,0,2017-05-21
ec,r&b,0,2017-05-28
ec,r&b,0,2017-06-04
ec,r&b,0,2017-06-11
ec,r&b,0,2017-06-18
ec,r&b,0,2017-06-25
ec,r&b,0,2017-07-02
ec,r&b,0,2017-07-09
ec,r&b,0,2017-07-16
ec,r&b,0,2017-07-23
ec,r&b,0,2017-07-30
ec,r&b,0,2017-08-06
ec,r&b,0,2017-08-13
ec,r&b,0,2017-08-20
ec,r&b,0,2017-08-27
ec,r&b,0,2017-09-03
ec,r&b,0,2017-09-10
ec,r&b,0,2017-09-17
ec,r&b,0,2017-09-24
ec,r&b,0,2017-10-01
ec,r&b,0,2017-10-08
ec,r&b,0,2017-10-15
ec,r&b,0,2017-10-22
ec,r&b,0,2017-10-29
ec,r&b,0,2017-11-05
ec,r&b,0,2017-11-12
ec,r&b,0,2017-11-19
ec,r&b,0,2017-11-26
ec,r&b,0,2017-12-03
ec,r&b,0,2017-12-10
ec,r&b,0,2017-12-17
ec,r&b,0,2017-12-24
ec,r&b,0,2017-12-31
ec,edm,106752,2017-01-01
ec,edm,106538,2017-01-08
ec,edm,103456,2017-01-15
ec,edm,105277,2017-01-22
ec,edm,101437,2017-01-29
ec,edm,101521,2017-02-05
ec,edm,95219,2017-02-12
ec,edm,90035,2017-02-19
ec,edm,89019,2017-02-26
ec,edm,89832,2017-03-05
ec,edm,87657,2017-03-12
ec,edm,86204,2017-03-19
ec,edm,83770,2017-03-26
ec,edm,79248,2017-04-02
ec,edm,72017,2017-04-09
ec,edm,73169,2017-04-16
ec,edm,74794,2017-04-23
ec,edm,71834,2017-04-30
ec,edm,74611,2017-05-07
ec,edm,68122,2017-05-14
ec,edm,66586,2017-05-21
ec,edm,38777,2017-05-28
ec,edm,62225,2017-06-04
ec,edm,61961,2017-06-11
ec,edm,55323,2017-06-18
ec,edm,54115,2017-06-25
ec,edm,46438,2017-07-02
ec,edm,47303,2017-07-09
ec,edm,43062,2017-07-16
ec,edm,44453,2017-07-23
ec,edm,39132,2017-07-30
ec,edm,46271,2017-08-06
ec,edm,78838,2017-08-13
ec,edm,77059,2017-08-20
ec,edm,75231,2017-08-27
ec,edm,75075,2017-09-03
ec,edm,76848,2017-09-10
ec,edm,73247,2017-09-17
ec,edm,63014,2017-09-24
ec,edm,48791,2017-10-01
ec,edm,42016,2017-10-08
ec,edm,39927,2017-10-15
ec,edm,39282,2017-10-22
ec,edm,36571,2017-10-29
ec,edm,32934,2017-11-05
ec,edm,22226,2017-11-12
ec,edm,18261,2017-11-19
ec,edm,20102,2017-11-26
ec,edm,15626,2017-12-03
ec,edm,15331,2017-12-10
ec,edm,17681,2017-12-17
ec,edm,14763,2017-12-24
ec,edm,4051,2017-12-31
ec,reggae,7,2017-01-01
ec,reggae,0,2017-01-08
ec,reggae,0,2017-01-15
ec,reggae,0,2017-01-22
ec,reggae,0,2017-01-29
ec,reggae,0,2017-02-05
ec,reggae,0,2017-02-12
ec,reggae,0,2017-02-19
ec,reggae,0,2017-02-26
ec,reggae,0,2017-03-05
ec,reggae,0,2017-03-12
ec,reggae,0,2017-03-19
ec,reggae,0,2017-03-26
ec,reggae,0,2017-04-02
ec,reggae,0,2017-04-09
ec,reggae,0,2017-04-16
ec,reggae,0,2017-04-23
ec,reggae,0,2017-04-30
ec,reggae,0,2017-05-07
ec,reggae,0,2017-05-14
ec,reggae,0,2017-05-21
ec,reggae,0,2017-05-28
ec,reggae,0,2017-06-04
ec,reggae,0,2017-06-11
ec,reggae,0,2017-06-18
ec,reggae,0,2017-06-25
ec,reggae,0,2017-07-02
ec,reggae,0,2017-07-09
ec,reggae,0,2017-07-16
ec,reggae,0,2017-07-23
ec,reggae,0,2017-07-30
ec,reggae,0,2017-08-06
ec,reggae,0,2017-08-13
ec,reggae,0,2017-08-20
ec,reggae,0,2017-08-27
ec,reggae,0,2017-09-03
ec,reggae,0,2017-09-10
ec,reggae,0,2017-09-17
ec,reggae,0,2017-09-24
ec,reggae,0,2017-10-01
ec,reggae,0,2017-10-08
ec,reggae,0,2017-10-15
ec,reggae,0,2017-10-22
ec,reggae,0,2017-10-29
ec,reggae,0,2017-11-05
ec,reggae,0,2017-11-12
ec,reggae,0,2017-11-19
ec,reggae,0,2017-11-26
ec,reggae,0,2017-12-03
ec,reggae,0,2017-12-10
ec,reggae,0,2017-12-17
ec,reggae,0,2017-12-24
ec,reggae,0,2017-12-31
ec,others,940820,2017-01-01
ec,others,996548,2017-01-08
ec,others,977917,2017-01-15
ec,others,1009101,2017-01-22
ec,others,979303,2017-01-29
ec,others,980407,2017-02-05
ec,others,1037667,2017-02-12
ec,others,982826,2017-02-19
ec,others,870035,2017-02-26
ec,others,873798,2017-03-05
ec,others,886007,2017-03-12
ec,others,876628,2017-03-19
ec,others,885217,2017-03-26
ec,others,876668,2017-04-02
ec,others,872001,2017-04-09
ec,others,914335,2017-04-16
ec,others,1050852,2017-04-23
ec,others,1486555,2017-04-30
ec,others,1537008,2017-05-07
ec,others,1568117,2017-05-14
ec,others,1542761,2017-05-21
ec,others,803265,2017-05-28
ec,others,1212382,2017-06-04
ec,others,1223623,2017-06-11
ec,others,1181860,2017-06-18
ec,others,1159675,2017-06-25
ec,others,1195527,2017-07-02
ec,others,1205587,2017-07-09
ec,others,1169767,2017-07-16
ec,others,1104138,2017-07-23
ec,others,1126235,2017-07-30
ec,others,1196899,2017-08-06
ec,others,1315880,2017-08-13
ec,others,1349694,2017-08-20
ec,others,1384339,2017-08-27
ec,others,1391845,2017-09-03
ec,others,1354621,2017-09-10
ec,others,1280853,2017-09-17
ec,others,1232896,2017-09-24
ec,others,1199259,2017-10-01
ec,others,1216383,2017-10-08
ec,others,1260209,2017-10-15
ec,others,1290041,2017-10-22
ec,others,1265439,2017-10-29
ec,others,1279201,2017-11-05
ec,others,1084454,2017-11-12
ec,others,1064282,2017-11-19
ec,others,1033419,2017-11-26
ec,others,955044,2017-12-03
ec,others,946656,2017-12-10
ec,others,943357,2017-12-17
ec,others,964167,2017-12-24
ec,others,144587,2017-12-31
fr,latin,406055,2017-01-01
fr,latin,406735,2017-01-08
fr,latin,453690,2017-01-15
fr,latin,592337,2017-01-22
fr,latin,711998,2017-01-29
fr,latin,754038,2017-02-05
fr,latin,771726,2017-02-12
fr,latin,788209,2017-02-19
fr,latin,721477,2017-02-26
fr,latin,731806,2017-03-05
fr,latin,1038681,2017-03-12
fr,latin,942886,2017-03-19
fr,latin,1085860,2017-03-26
fr,latin,1159402,2017-04-02
fr,latin,1196661,2017-04-09
fr,latin,1315532,2017-04-16
fr,latin,1793115,2017-04-23
fr,latin,1655767,2017-04-30
fr,latin,1638841,2017-05-07
fr,latin,1751609,2017-05-14
fr,latin,1914979,2017-05-21
fr,latin,1114125,2017-05-28
fr,latin,2366877,2017-06-04
fr,latin,2656224,2017-06-11
fr,latin,2709679,2017-06-18
fr,latin,2520426,2017-06-25
fr,latin,2658955,2017-07-02
fr,latin,2975978,2017-07-09
fr,latin,3019287,2017-07-16
fr,latin,3116543,2017-07-23
fr,latin,3166774,2017-07-30
fr,latin,2907200,2017-08-06
fr,latin,2715985,2017-08-13
fr,latin,2617144,2017-08-20
fr,latin,2326763,2017-08-27
fr,latin,1917022,2017-09-03
fr,latin,1558694,2017-09-10
fr,latin,1418310,2017-09-17
fr,latin,1274360,2017-09-24
fr,latin,1040590,2017-10-01
fr,latin,995066,2017-10-08
fr,latin,951093,2017-10-15
fr,latin,793851,2017-10-22
fr,latin,677818,2017-10-29
fr,latin,425915,2017-11-05
fr,latin,451832,2017-11-12
fr,latin,714541,2017-11-19
fr,latin,630864,2017-11-26
fr,latin,547054,2017-12-03
fr,latin,646635,2017-12-10
fr,latin,745566,2017-12-17
