id,artist_id,artist_name,genres,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,acousticness,tempo
4TQVQFkPbpgixmwZ7KWnX3,7EJcUkbBsR4kN822bEa0ZS,Jamaika,/danish hip hop/deep danish pop/,0.767,0,0.194,-4.144,0.464,0.415,0.514,0.171,94.927
1lzRxwbdl86iJlYMz48KoD,6rl53MP8HSoiugpqzA50Zh,Amir,/eurovision/francoton/,0.875,0,0.17,-4.818,0.0444,0.489,0.567,0.0263,120.058
4ZMek0u3MkyFf03LRZZNQg,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,/neo mellow/pop/tropical house/viral pop/,0.475,0,0.141,-6.573,0.0269,0.249,0.613,0.0292,86.056
3gqVjhFpPMjbZBLNJ7nhj3,0mXXLFHmd5bUHxkzaC9ujw,The Sam Willows,/singaporean pop/,0.572,0,0.06,-6.85,0.0276,0.464,0.679,0.184,95.001
3tvqLAZDD6dLYG5WnJcRsU,2MYIJPSFNT6JYOPgvLEU1V,Saint Michel,/french indie pop/french indietronica/,0.559,0.00797,0.113,-8.717,0.0401,0.283,0.655,0.246,96.011
3DmjHN1btW4dRtgwm7FdO2,3pgCLfNbw5ozIfoNsvDU7i,Fedez,/italian arena pop/italian hip hop/,0.686,0,0.108,-7.927,0.0542,0.359,0.675,0.3,92.027
6U4VqEHy4n5VeiH4pQPL24,1T8S48bD91THNKBByWBDyn,Dwayne Johnson,//,0.751,0,0.0367,-7.023,0.28,0.688,0.782,0.278,135.277
48rcF4CgseJHkUEfqfj3pb,undefined,undefined,undefined,0.701,0,0.0835,-4.587,0.0935,0.601,0.785,0.163,100.947
1Ksw0YrW7FiEhLK9sLrw4R,undefined,undefined,undefined,0.748,0,0.112,-8.221,0.29,0.715,0.869,0.189,132.08
6QX0XmTD2JtW4m5baQY0YC,30RnihWZIvAL4xTLSj0Caz,Maricarmen Marin,/pop reggaeton/,0.848,0,0.293,-4.802,0.0271,0.852,0.678,0.105,136.047
0SA6Wiw0n0oDgcDwt0ENWh,2Mp409M6EpFr3kGdQ1mwjS,Sabina Ddumba,/swedish folk pop/swedish idol pop/swedish pop/,0.428,0.00000304,0.121,-6.487,0.0408,0.122,0.336,0.0182,78.05
4rqTyffvee97Jfa7HEm037,undefined,undefined,undefined,0.453,0,0.0994,-6.493,0.0251,0.313,0.623,0.237,116.025
6ZBXaW9fy6oDc0b0yDtH7u,0wK3rMwogVowmeXArZN29T,é‡‘èŽŽ,/mandopop/,0.535,0,0.102,-5.809,0.0312,0.341,0.551,0.604,123.789
60RmRJm8QwSttdgNQXpjac,undefined,undefined,undefined,0.324,0.0000217,0.381,-9.137,0.0342,0.139,0.565,0.565,77.495
085XpQzAKm4nAfcfRp2get,undefined,undefined,undefined,0.538,0.117,0.095,-9.366,0.0783,0.802,0.525,0.14,175.953
2yvzLwqnATiZ74iRUTsBfK,2KGbvHE2WfRazq4yE3pcWi,Aleksanteri Hakaniemi,/finnish dance pop/finnish hip hop/finnish pop/iskelma/,0.754,0,0.187,-6.588,0.0493,0.603,0.608,0.177,139.042
2lT2w8qVNDUAzrdO4yCdxE,7rewR1TVjhisjI6gauUamf,The Crystals,/brill building pop/bubblegum pop/christmas/classic girl group/doo-wop/folk rock/motown/rhythm and blues/rock-and-roll/rockabilly/,0.831,0.00188,0.345,-7.462,0.087,0.254,0.418,0.885,77.934
7zLGHiDWd9T1Rxw4PQCb13,undefined,undefined,undefined,0.593,0,0.623,-4.816,0.137,0.575,0.577,0.8,120.611
0bYg9bo50gSsH3LtXe2SQn,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,/dance pop/hip pop/pop/r&b/urban contemporary/,0.625,0,0.0708,-7.462,0.0386,0.346,0.335,0.164,150.277
7fquyF65WpGM5A0gWSqCfr,undefined,undefined,undefined,0.195,0.122,0.195,-17.352,0.0485,0.18,0.365,0.988,87.966
1YBItUnKj01KBXhpFtvINp,5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,/dance pop/europop/neo mellow/pop/post-teen pop/r&b/talent show/urban contemporary/,0.84,0.00000864,0.516,-3.764,0.04,0.682,0.404,0.0525,122.549
2R4SVKFEle52QAek3nRRgf,undefined,undefined,undefined,0.717,0,0.095,-4.505,0.171,0.56,0.784,0.0868,111.999
